condition_count,condition,atom_ids,races,manshu_races,manshu_rate_pct,lift_vs_all,recent_races_2025_plus,recent_manshu_races_2025_plus,recent_manshu_rate_pct,avg_payout_yen,b1_fly_pct,outer56_top3_pct,rank6_top3_pct,winner_3to6_pct,score
5,1号艇AI予測30%未満 × 5/6号艇に展示2位以内 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+5位が展示2位以内,"b1_ai_pred_lt30,outer56_tenji_top2,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank5_tenji_top2",164,52,31.71,1.886,96,30,31.25,10625,49.39,82.93,29.27,58.54,38.9368
5,1号艇逃げ失敗40%以上 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_loss_ge40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,round_1_3",166,53,31.93,1.899,97,30,30.93,9611,41.57,81.33,29.52,54.22,38.1748
5,1号艇逃げ失敗45%以上 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位が展示2位以内 × 1〜3R,"b1_loss_ge45,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_tenji_top2,round_1_3",201,62,30.85,1.834,59,23,38.98,9708,42.29,72.64,26.37,53.73,37.6743
5,1号艇逃げ率40%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_nige_lt40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,round_1_3",190,60,31.58,1.878,115,35,30.43,9443,37.89,80.0,27.89,51.58,37.6389
5,1号艇逃げ失敗45%以上 × 5/6号艇AI予測最大12%以上 × AI+5位が展示2位以内 × 風または波5以上 × 1〜3R,"b1_loss_ge45,outer56_ai_pred_ge12,rank5_tenji_top2,wind_wave_ge5,round_1_3",229,70,30.57,1.818,82,32,39.02,9555,40.61,76.86,14.41,48.91,37.4438
7,1号艇逃げ率45%未満 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位が展示2位以内 × 前半1〜6R × 1〜3R,"b1_nige_lt45,b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_tenji_top2,front_1_6r,round_1_3",167,50,29.94,1.78,59,23,38.98,9596,48.5,79.64,26.35,58.68,37.4265
5,1号艇逃げ失敗45%以上 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 1〜3R,"b1_loss_ge45,b1_ai_pred_lt25,outer56_ai_pred_ge12,wind_wave_ge5,round_1_3",255,75,29.41,1.749,101,38,37.62,9211,54.9,79.22,19.22,59.61,37.4117
5,1号艇逃げ失敗40%以上 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × 1〜3R,"b1_loss_ge40,b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_avgdiff_ge010,round_1_3",173,51,29.48,1.753,110,33,30.0,8971,58.96,81.5,31.21,58.96,37.2382
5,1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 前半1〜6R,"b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,front_1_6r",240,70,29.17,1.734,139,41,29.5,8889,50.0,81.25,30.83,57.92,37.1494
5,1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+5位が展示2位以内 × 風または波5以上 × 1〜3R,"b1_ai_pred_lt30,outer56_ai_pred_ge12,rank5_tenji_top2,wind_wave_ge5,round_1_3",225,67,29.78,1.771,86,32,37.21,10716,47.56,79.56,17.78,51.56,37.0687
